Var207_embed_0,Var207_embed_1,Var207_embed_2,Var207_embed_3,Var207_embed_4,Var207_embed_5,Var207_embed_6,Var207
0.024437925,0.0051018004,-0.028882787,-0.026774399,-0.016844645,-0.03009412,0.029163292,0MCPoln
-0.045506295,0.026917906,0.041539636,0.022599285,0.049668506,-0.010373929,-0.03337277,15TtzZrRt2
0.017090905,-0.011883379,0.017619153,-0.019097067,0.0022274836,-0.016702654,0.047900505,5iay
-0.03960444,0.009584986,0.059580326,-0.014657071,-0.02698753,-0.050227266,0.004726893,6C53VA1kCv
-0.018149687,0.14968695,0.0975428,-0.10306167,0.17174841,-0.10978234,0.14825028,7M47J5GA0pTYIFxg5uy
-0.08430474,0.0702491,0.15368854,-0.18241389,0.18024841,-0.15282743,0.088438645,DHn_WUyBhW_whjA88g9bvA64_
0.00659955,0.011772326,0.027116016,-0.051912006,0.010152092,0.0021319177,0.060801726,EBKcR3s6B22tD6gC36gm6S
-0.08425478,0.045483325,0.0353829,-0.09839674,0.047439557,-0.09514012,0.09905775,GjJ35utlTa_GNSvxxpb9ju
-0.05812928,0.008085782,0.03038321,-0.0936358,0.02750488,-0.036893375,0.022353541,Kxdu
-0.049675155,0.08812999,0.0314494,-0.07039698,0.07001433,-0.07187151,0.09839961,NKv3VA1BpP
-0.005282505,0.035024945,0.13865979,-0.0465955,0.11300437,-0.091468565,0.13203862,me75fM6ugJ
0.042735398,0.04668489,0.019018147,-0.05677852,0.011398839,-0.034262765,0.034190394,o0ZZAVSQ32YuE
0.020090086,0.063673474,0.0013298679,-0.03948509,0.010548878,-0.058425732,0.04018988,wXfldy7
