Var228_embed_0,Var228_embed_1,Var228_embed_2,Var228_embed_3,Var228_embed_4,Var228_embed_5,Var228_embed_6,Var228_embed_7,Var228_embed_8,Var228_embed_9,Var228_embed_10,Var228_embed_11,Var228_embed_12,Var228_embed_13,Var228_embed_14,Var228
-0.06274125,-0.00699328,-0.023003165,-0.08372009,0.020941392,0.037549373,0.047015257,-0.03993235,-0.053489238,0.01738146,0.018210376,0.018891267,-0.048659354,-0.01748489,-0.03358665,0pzBWGkV3fbsGZN52DH
-0.044621997,-0.024409184,-0.07049932,-0.10831096,-0.026133763,0.046684068,0.056079768,-0.037029374,-0.034858562,-0.07345175,0.032653563,-0.017004961,-0.01262598,-0.015766118,-0.03250459,4rd_
-0.110320635,0.070918076,-0.041708145,-0.11185737,-0.033966802,0.15325339,0.00571399,-0.12958615,-0.07223894,-0.05168856,0.13096352,-0.1180965,-0.07153501,-0.16412593,-0.09052359,55YFVY9
-0.057102233,-0.013728272,-0.09362342,-0.05694768,-0.018896904,0.0062343907,0.032680117,-0.09076243,-0.017237265,-0.041191276,0.039257754,-0.09464323,-0.037211083,-0.063172504,-0.0073169647,5oZS
-0.010589076,0.06924388,-0.058556832,-0.079095185,-0.035973463,0.09220474,0.05858723,-0.028504217,-0.08694503,-0.021648552,0.0948704,-0.059825126,-0.045148395,-0.02938196,-0.016117427,6nxx00q6gnIF8ePJ3P3AEfZ1N
0.022869298,0.040681332,-0.053054877,0.0060372017,-0.00090571155,0.0575153,-0.020547437,-0.0064521157,-0.0039635524,0.012831937,-0.003807667,0.011389312,-0.0051020426,0.034008432,-0.04317866,9VmiOykV3fbsAg65e4w
0.043070424,0.023969585,0.0022919355,-0.04003042,0.03196326,-0.0036019478,-0.033412054,-0.04105691,0.02158959,-0.006883918,0.0155944545,0.009117271,0.03584066,-0.024506764,-0.01889695,DU8B
-0.091786474,0.06645966,-0.02331238,-0.07238576,-0.09479575,0.09826551,0.030406822,-0.09181441,-0.09500668,-0.02970135,0.1105434,-0.0375401,-0.04787072,-0.10591907,-0.03136162,F2FcTt7IdMT_v
-0.10557953,0.06682307,0.027072052,0.092441455,0.03414876,0.03920478,-0.06146661,-0.09993959,-0.115528286,0.048710205,0.032553423,-0.07940452,-0.11618544,-0.06594202,-0.103276715,F2FyR07IdsN7I
-0.02720503,0.010650727,0.009872194,-0.02757513,-0.054283734,-0.0067522144,-0.039897766,0.034504957,0.014931386,-0.024253855,0.019274557,-0.062210403,0.011840139,-0.037403062,0.04009067,JnGLH58smNxIYcGK39k
-0.052434117,0.005418696,-0.09334361,-0.08847965,-0.02392609,0.04112933,0.06072907,-0.04756712,-0.04310368,-0.053194027,0.050900187,-0.073598064,-0.054225113,-0.08251329,-0.04500586,NoEd
-0.077844,0.056710724,-0.046500362,-0.070063956,-0.024376327,0.084679805,0.015841987,-0.052921467,-0.12176899,-0.121475466,0.091831796,-0.11970358,-0.09632397,-0.06447174,-0.13732831,R4y5gQQWY8OodqDV
-0.027425831,-0.039257474,0.0013203712,0.026861453,-0.012930352,0.038765695,-0.018904723,0.027973494,-0.04931261,-0.04576298,0.009104433,-0.03901484,0.00842726,-0.0509017,-0.0036200632,RjBDiL8f9CQYc21fICscNNpj6
0.007819569,-0.02316826,0.031561006,-0.02448225,-0.0154380975,0.05362869,-0.029738503,0.030253425,0.005569665,0.00840301,-0.002542196,0.01015637,0.013446992,-0.06121789,-0.053706884,SbOd7O8ky1wGNxp0Arj0Xs
-0.094357155,0.08807966,-0.0157629,-0.023793515,-0.052546773,0.08962278,0.055534802,-0.0861355,-0.04079346,-0.02528298,0.00412868,-0.01795784,-0.04061078,-0.101741746,-0.041735694,TCU50_Yjmm6GIBZ0lL_
0.020018145,0.053123258,-0.049973264,-0.07901561,-0.026221232,0.023506558,0.0047130887,-0.05669931,-0.026978536,-0.096006416,0.017484762,0.014212873,-0.0128523875,0.020044357,-0.04970828,VjDE
-0.04051675,0.04302056,-0.04629952,-0.10467767,-0.06353428,0.024709119,0.008899905,-0.08752782,-0.046412423,-0.09126554,0.062501356,-0.09943426,-0.05526767,-0.0154674975,-0.04433682,WfJ2BB2SFSqauljlfOB
0.017132245,0.039595503,-0.0006222938,-0.0028961636,-0.007981513,0.027791178,0.020518,0.0046552857,-0.01878861,-0.010063426,0.032038562,-0.076069295,-0.065691866,-0.055803023,0.009011913,WfJYmPMksSqa1pajvfG
-0.059614096,0.029913329,-0.018458994,-0.03391414,-0.0033124953,0.07798216,-0.0011161079,-0.019414628,-0.017608156,-0.078653134,0.032358065,0.005714253,-0.0136406645,-0.038267214,-0.05358223,ZeaF
-0.030007273,0.000502894,-0.057914607,0.0018046288,-0.03315594,0.07107662,-0.011269432,-0.0018282585,-0.056772508,-0.0011474373,0.027827857,-0.055318017,-0.06168876,-0.04952234,-0.065445825,Zy3gnGM
-0.05172386,-0.0032986468,0.036389824,0.026918285,0.007924172,-0.039194036,0.05808579,0.027528442,0.022431701,0.0034075852,0.04917561,-0.023958948,0.0031422107,0.026536971,-0.05597218,_URKn_77G3QyQHSVQ2N1RKmtW
0.025767285,0.0541947,-0.046423085,-0.055569436,-0.005176448,0.051880237,0.026218278,-0.04137225,0.019701911,-0.063662425,-0.01680703,-0.011361281,-0.0041575935,0.0291852,-0.020137986,_cTCyH95OE93jSkoIBT
-0.06514223,-0.02719858,-0.02357862,-0.0008426873,0.01881015,0.04154506,-0.01067113,0.008351009,-0.0030643442,-0.02817607,-0.019924123,-0.015450936,-0.057907123,-0.06504037,-0.042646628,am14IcfM7tWLrUmRT52KtA
-0.044347476,0.0045904573,0.004778224,-0.0017482196,0.0040945085,0.040446445,0.026365852,0.03775461,-0.019515576,-0.050236598,-0.01521751,0.019485706,0.028252933,-0.012546836,0.028652932,b9qbUNk0dML_Mvi2
0.009034609,0.0056405226,-0.04596301,-0.0016234636,-0.0116637,0.01798459,-0.03402745,-0.04780166,0.026482446,-0.05336473,-0.034456052,0.0009818779,-0.03274779,-0.04735068,0.022547115,d0LtHjWeaXyArdN4sxU_saXqH
-0.09615883,0.028978856,-0.039616648,-0.07756422,-0.024190309,0.07601188,-0.0064666597,-0.03891425,-0.0770501,-0.113255955,0.05024011,-0.06517172,-0.05149845,-0.07163215,-0.08068803,ib5G6X1eUxUn6
-0.14338152,0.10107583,-0.022871418,-0.064466305,-0.036148395,0.043292888,0.049333163,-0.1256889,-0.027403845,-0.10307256,0.107434645,-0.05000021,-0.11323385,-0.11741669,-0.102590494,iyHGyLCEkQ
0.006259319,0.062399305,-0.06297686,-0.06624603,-0.044564452,0.050927993,0.022520727,0.017992226,-0.047733836,-0.10776507,0.0325309,-0.02839008,-0.054303173,-0.0308017,0.014503668,r_7E
-0.09596426,0.058415882,-0.054680668,-0.07887001,-0.003032756,0.044902276,0.04683383,-0.10560314,-0.054088302,-0.067892276,0.054955747,-0.10736605,-0.122277856,-0.10102375,-0.030437738,xwM2aC7IdeMC0
