Var206_embed_0,Var206_embed_1,Var206_embed_2,Var206_embed_3,Var206_embed_4,Var206_embed_5,Var206_embed_6,Var206_embed_7,Var206_embed_8,Var206_embed_9,Var206_embed_10,Var206
0.037191454,0.0053480924,-0.064481616,-0.018117458,0.024478653,0.073337734,0.04175615,0.067042835,-0.03964932,0.07792789,0.0033385868,409L
0.07235514,-0.058888074,-0.09821377,-0.0053051207,0.020509467,0.038928606,0.051757142,0.035745077,-0.076523304,0.07462636,0.042237177,43pnToF
0.030070024,-0.063287534,0.024617027,-0.07282226,-0.018469973,0.030090509,-0.017365364,-0.0017074633,-0.028391816,-0.027481152,0.053474177,69fI
0.055256598,-0.092096455,-0.023196107,-0.05536606,0.093469955,0.0491125,-0.0079292,0.024731915,-0.054885272,0.08428998,0.0372435,6JmL
0.051315088,-0.079217695,-0.028006678,0.0031441187,0.039195243,0.05628488,0.07246177,-0.0041348664,-0.05378222,-0.0007033101,0.07527359,CoYW
0.004184642,0.047208246,-0.024306366,-0.03220629,0.025165023,-0.025050836,-0.03168889,-0.0028460687,0.018629689,0.008574825,0.0041386965,G_zk
0.053597353,-0.036109313,-0.063466586,-0.04800067,0.040202405,0.0051613045,-0.071054764,0.020746399,-0.06412671,0.023972582,0.07505077,IYzP
0.05400951,-0.002000093,-0.0027906983,-0.056019302,0.044392798,0.058660496,0.055460226,0.022990078,0.014331242,0.025762293,0.026201647,TIA9
0.010394106,-0.02843687,-0.039459903,-0.0077725532,0.07279089,-0.006151176,0.056791667,0.05662434,-0.01881549,-0.006605422,-0.004152063,Tkho
0.10693095,-0.06888989,-0.017679635,-0.043533813,0.112890154,0.036504317,0.07144197,0.100407846,-0.048186626,0.11114761,0.0699339,giwq
0.11724721,-0.1252637,-0.07988949,-0.10903024,0.06948987,0.02548997,0.09877618,0.04191696,-0.12886155,0.12008303,0.0788572,hAFG
0.14667372,-0.12614644,-0.10493096,-0.13214795,0.12450933,0.07493043,0.09285756,0.124141686,-0.12706487,0.08572448,0.07324397,haYg
0.026368942,-0.052895956,0.020866016,-0.04398855,0.06838318,0.0007779228,0.01629791,0.046774413,-0.06631522,0.009717273,0.06856007,hzlB
0.056632888,-0.07076119,-0.027695816,-0.060417637,0.037292205,0.0897722,0.036063973,0.09560619,-0.096388526,0.08943777,0.018935418,itlM
0.048642926,-0.006906221,-0.057956,-0.061542712,0.041689098,0.01025095,0.043837637,0.004867814,-0.09201808,0.06182015,0.038740654,kxE9
0.051592734,0.0054959934,0.019184133,-0.03984118,0.0011742106,0.044070765,-0.060649186,0.025593441,0.020303167,0.009234847,0.028090747,lVqb
0.1950544,-0.19843368,-0.18791793,-0.11725026,0.22645228,0.19513701,0.1731027,0.17829427,-0.14338735,0.2121183,0.09776299,nan
0.09119821,-0.0478058,-0.09154578,-0.047332652,0.015831446,0.024406318,0.08378471,0.06982395,-0.0231445,0.052077834,0.03638493,oZyB
0.091897994,-0.020418068,-0.07462,-0.08521865,0.09798792,0.07629176,0.022792837,0.052015472,-0.089382134,0.01738122,0.06428432,sYC_
0.017045472,-0.014698594,-0.0885057,-0.079817876,0.083172195,0.08891247,0.053582177,-0.0020059017,-0.07520075,-0.008697028,0.047195543,wMei
0.057924062,-0.07610299,-0.07537195,-0.11493941,0.045613382,0.11062101,0.035866406,0.05800384,-0.07091441,0.100265056,0.0474146,y6dw
0.043138858,0.022455195,-0.028674396,0.0058378982,0.01048353,0.009357501,-0.05681934,-0.013958917,-0.0021821691,0.033154357,0.040166058,zm5i
