Var226_embed_0,Var226_embed_1,Var226_embed_2,Var226_embed_3,Var226_embed_4,Var226_embed_5,Var226_embed_6,Var226_embed_7,Var226_embed_8,Var226_embed_9,Var226_embed_10,Var226_embed_11,Var226
0.01827598,0.04458618,-0.0664847,0.013089112,0.04022438,-0.0058447793,0.04677588,0.04737109,0.011586554,0.016431093,0.07086881,0.04876049,3Cy4
-0.0159006,0.0004937503,-0.038052775,-0.000937444,0.02054627,0.010890678,0.008226641,-0.0017215695,-0.013560741,0.053461302,0.02028977,0.02918254,453m
-0.016068712,0.09267413,-0.07105875,-0.021696253,0.028590996,-0.06570126,0.06510287,0.09420527,0.014012949,-0.0022707176,-0.00010951926,0.01030222,5Acm
0.015849823,-0.033215687,-0.04177917,-0.05532043,0.0015315916,0.026185561,0.06289296,0.052466463,0.006372543,-0.04053887,-0.034374453,0.047576282,7FJQ
0.019293357,0.058519512,-0.04150541,-0.08988908,0.03744178,0.024466662,0.07671238,0.12208881,0.09072287,-0.028220516,0.03708677,0.07445143,7P5s
0.057805482,0.027587434,-0.010683844,-0.028698754,0.08162865,-0.03205522,0.09238742,0.04806831,-0.00404829,0.016827133,0.02276947,0.035973422,7aLG
0.011270468,0.06204896,0.0056743086,0.017973676,0.03559643,0.009264929,0.06758044,0.07342006,-0.0049158446,0.058801148,0.07477638,-0.018471697,Aoh3
-0.022642547,0.059722222,-0.032619145,-0.021542668,0.038594957,0.02450748,0.048041407,0.063833594,-0.00025841282,0.024260784,0.016268848,0.03991758,FSa2
-0.040175956,-0.021052679,0.021949496,-0.011621356,-0.0076355226,0.027965449,-0.013630995,0.010255606,0.008158373,0.0005196787,0.025063373,0.04847931,PM2D
-0.02828472,0.051898804,-0.07102656,-0.0060645533,0.10387495,-0.0434643,0.054952297,0.05993134,0.05513157,0.082197234,0.042058025,0.028771533,Qcbd
-0.00015439795,0.08738956,-0.032150853,-0.077754214,0.039166767,-0.028623883,0.08914696,0.12588948,0.040792458,0.0037808109,0.10695357,0.06825992,Qu4f
-0.03389596,0.063658364,-0.047586642,0.027604358,0.01901291,0.053519245,0.03252437,0.015380007,0.012985103,0.024166252,0.0010688504,-0.011612386,TNEC
0.041785505,0.07983355,-0.06830978,-0.051474866,0.080012605,-0.0031541071,0.039427284,0.05118742,-0.0057838485,0.018921152,0.0044918107,0.056302223,WqMG
0.08332145,0.012122935,-0.05407885,-0.093279876,0.054222994,-0.08470602,0.07113907,0.036379673,0.007405681,-0.021119302,0.011400629,0.07325381,Xa3G
0.04477041,0.01691107,-0.03969895,-0.035304647,0.006824796,0.028759133,0.089008026,0.01591202,0.006193909,-0.016703263,0.013922325,0.045245398,fKCe
0.012813678,0.045517888,-0.0129733905,-0.02835674,0.050760154,0.03961857,0.032939352,-0.007798912,-0.010412014,0.05419755,0.023448111,0.042278588,kwS7
0.027306078,0.07629306,0.012784267,-0.039879713,0.035653546,-0.06447615,0.072716445,0.06524739,0.06876658,-0.03360749,0.0624817,-0.011085123,me1d
-0.04860993,0.049062323,0.011563437,-0.053461198,0.0004471635,0.019547492,0.04207116,0.04146353,0.016488092,-0.029961381,0.05103182,0.013147635,rgKb
0.041007712,0.11680001,-0.048527714,-0.029415341,0.03174586,-0.04778704,0.07942156,0.07341148,0.067717575,0.006121084,0.06264159,0.010532397,szEZ
-0.06214725,-0.037889585,-0.0060240324,-0.0024957743,0.04996928,0.040717952,0.034262363,0.031146364,-0.031695917,-0.0067034354,0.022654008,-0.0206238,uWr3
-0.020036647,-0.0052250153,-0.01440219,-0.016864767,0.05439016,-0.0018281323,0.03016771,0.046170376,0.028013306,0.0032112186,0.04407834,0.008069419,wX53
0.018954068,-0.018084375,-0.041415952,-0.020139195,0.0061041634,0.034602568,-0.021512382,0.060149886,0.05394386,-0.030968998,0.0048314803,-0.03253609,w_Ub
-0.009224172,0.032222345,-0.05315178,-0.004166418,0.034430545,-0.039641917,0.017448574,0.06353668,0.039809387,0.00031006744,0.035801344,0.03994292,xb3V
