Var219_embed_0,Var219_embed_1,Var219_embed_2,Var219_embed_3,Var219_embed_4,Var219_embed_5,Var219_embed_6,Var219_embed_7,Var219_embed_8,Var219_embed_9,Var219_embed_10,Var219
-0.014344502,0.029953323,0.022168005,-0.04700475,-0.020909812,-0.032069437,-0.0612995,-0.04217205,-0.022596115,-0.05318459,-0.021720275,49W0rUY
0.034919567,0.050117057,0.009651142,0.023841424,0.001253255,-0.010011444,-0.05844797,-0.009971766,0.031289447,-0.0456567,0.01318817,49W9HeL
-0.021619245,0.01928114,-0.052417204,0.009195655,-0.021675153,-0.017222947,-0.009696842,-0.06282411,0.04389118,0.029905792,0.03162411,6krWwfF
-0.031239642,-0.010040498,-0.031652723,-0.023240885,-0.031967122,-0.010961394,-0.0050901365,-0.02057837,0.05282629,0.019658979,0.05037853,AT1N
-0.023007536,-0.03209139,0.008515661,0.030614873,-0.011900057,-0.057531066,-0.020093482,0.014120054,0.010427323,-0.032946736,0.02733309,AU8KzzF
-0.0030165063,0.015040849,-0.039707094,0.016566273,-0.025511175,0.019607,-0.0074350876,-0.046810165,0.06735955,-0.016255205,0.023413291,AU8OvAe
-0.070002235,0.04371959,-0.077474385,-0.031059856,-0.0008979466,-0.07579075,-0.0061099613,-0.034429755,0.0953675,-0.007842305,0.10010551,AU8_WTd
0.036177374,0.032285765,-0.04575567,0.037017565,0.0041771918,0.022597192,0.032252885,-0.062372074,0.050675128,0.032488037,-0.023237126,AU8ltHK
-0.05690636,0.06682464,-0.031196434,-0.06819475,-0.10278866,-0.08163017,-0.053130135,-0.023345802,0.09133103,-0.052283403,0.015277557,AU8pNoi
-0.02031634,0.06780539,-0.028195571,-0.06770365,-0.06309048,-0.04097996,-0.021292413,-0.033324268,0.08140094,-0.05285784,0.010413765,FQHxeR8
0.026984205,-0.0047376603,-0.028329834,-0.0025859934,-0.008083052,0.023495458,-0.0021840534,0.014689682,0.02931348,-0.04001808,0.052222062,FqMWi1g
-0.12324535,0.01509286,-0.13453284,-0.0949547,-0.17529556,-0.18645489,-0.09176927,-0.13629185,0.14478362,-0.036798835,0.09301267,FzaX
-0.03310607,0.032531366,0.012002078,0.009844382,-0.033851586,-0.03188442,0.019882109,0.0045934045,0.030787488,-0.022996075,-0.011399651,HEoH
-0.027210375,0.023357509,-0.07063744,-0.039261248,0.0023438798,0.0028725013,-0.050206937,-0.010370736,0.049039118,-0.026747784,0.070493974,JdAM
-0.08083591,0.01679932,-0.06070352,-0.08125588,-0.11214823,-0.113502584,-0.09616513,-0.087949716,0.034198828,-0.027081998,0.086729474,Lmli
-0.06234261,-0.006887025,-0.088414505,-0.08124955,-0.030753143,-0.07619961,-0.093793236,-0.02498702,0.09617937,-0.004115877,0.02835495,OFWH
-0.02896415,-0.012258244,0.0134635335,-0.018438766,-0.008391816,0.012698068,-0.031008929,-0.045126274,0.048809268,-0.002556616,0.0044430452,lkwAXjv
-0.03465714,0.002664006,-0.07424341,-0.07813341,-0.108994275,-0.14386453,-0.02235653,-0.07254466,0.13434635,-0.04481682,0.1063622,nan
-0.0032141285,0.021976048,-0.0012750922,-0.07832521,-0.04701136,-0.07528751,-0.07356393,-0.09254104,0.022389198,-0.011227364,0.04341459,qxDb
-0.0700434,0.013108319,-0.091074914,-0.06874956,-0.050418507,-0.07821765,-0.0025032596,-0.04497824,0.106624424,-0.029253136,0.06962322,tdJW_Pm
-0.0060848403,0.03684786,-0.100743845,-0.03347581,-0.061020114,-0.0661464,-0.0008469064,-0.08619243,0.096786834,-0.07829755,0.06763152,wwPEXoilkr
-0.012190673,0.02913381,-0.045430433,-0.014632485,-0.0453135,-0.040606316,-0.051940285,-0.05822911,0.018869836,-0.050896425,0.017395992,ylgWTXl
