Var193_embed_0,Var193_embed_1,Var193_embed_2,Var193_embed_3,Var193_embed_4,Var193_embed_5,Var193_embed_6,Var193_embed_7,Var193_embed_8,Var193_embed_9,Var193_embed_10,Var193_embed_11,Var193_embed_12,Var193_embed_13,Var193_embed_14,Var193_embed_15,Var193_embed_16,Var193_embed_17,Var193_embed_18,Var193_embed_19,Var193_embed_20,Var193_embed_21,Var193_embed_22,Var193_embed_23,Var193
0.11493819,-0.05370272,0.17714222,-0.16477193,-0.09486471,-0.08973678,-0.07546488,0.19279231,-0.101575345,0.15636742,-0.16186123,-0.12417059,-0.1253755,0.04409014,0.12519598,-0.1845813,-0.106009714,-0.09650293,0.1544383,-0.1576906,0.13415796,-0.15435125,0.09632842,-0.071125366,2Knk1KF
-0.007386297,-0.032284826,0.057570808,-0.00985297,-0.008778674,-0.06751986,-0.06639909,0.021523684,-0.026063193,-0.005719964,-0.019011172,-0.0009306349,-0.038675524,0.02918617,-0.01926809,-0.03818392,-0.0443706,0.01732069,0.05212872,-0.013505421,0.07039226,0.0002724815,-0.017181287,-0.045416843,2wnefc9ISdLjfQoAYBI
0.09556745,-0.102493234,0.046395566,-0.09848558,-0.082415245,-0.062257126,-0.0016250309,0.09540374,-0.03409136,0.0801392,-0.08228894,-0.08369234,-0.08515755,0.05303382,0.060448088,-0.027761042,-0.036406886,-0.06728755,0.010998064,-0.10038354,0.039047603,-0.067213,0.07722625,-0.015870871,5QKIjwyXr4MCZTEp7uAkS8PtBLcn
0.006603088,0.013933729,-0.005040692,0.0023287844,-0.008829413,-0.05043355,-0.06286844,0.0113334805,0.011268302,0.04350266,-0.010271365,-0.06601854,-0.040652353,0.07790449,0.038507666,-0.043636702,-0.058780618,-0.016369123,0.07016852,-0.009867766,0.07596149,-0.07778748,-0.019885551,-0.008838347,8kO9LslBGNXoLvWEuN6tPuN59TdYxfL9Sm6oU
0.12332052,-0.07196524,0.11406475,-0.10681011,-0.09454171,-0.10039158,-0.027622342,0.07991471,-0.07263649,0.1195699,-0.101017594,-0.124918796,-0.09699785,0.011350319,0.10797648,-0.06942083,-0.083112836,-0.07687048,0.118568294,-0.11070095,0.048513573,-0.051447965,0.048488602,-0.055010747,AERks4l
0.03850603,-0.011116971,-0.012111481,0.027975649,0.029446227,0.0048447554,0.03029123,-0.034468044,-0.025820969,-0.028999047,-0.04720774,0.037695266,-0.011011483,0.040302675,0.012631111,0.007303198,-0.008204333,-0.0139791565,-0.0076704076,0.034069438,0.035642307,-0.0049270536,-0.019605543,0.04044336,B2T7ZTgOX7xpBPBD28SLvVWgBkc13Sm0a3tk2
-0.03005229,0.024756579,0.032329757,0.027603429,-0.024287289,-0.030411396,0.022588482,-0.03286057,-0.049103502,-0.03210762,-0.053492222,0.026799923,0.030825146,0.04230617,-0.031017175,-0.026207956,-0.0509255,-0.047521472,0.04745754,0.03815426,-0.016663,0.040649187,0.02351277,0.03411181,BrRu5UxtiQY9TTJ8ABKpfS
0.061244775,-0.035812937,0.05319165,-0.04530262,-0.031808104,-0.13198568,-0.03940439,0.060123943,-0.1182679,0.097350545,-0.08616694,-0.074214324,-0.03634196,0.103921935,0.08434403,-0.06897934,-0.062174708,-0.058609392,0.069406845,-0.10307013,0.0705455,-0.07576067,0.09325507,-0.10198752,ByQdnLRlFnny2k4AJzG
0.03737509,-0.02722865,-0.018496636,-0.025793705,0.0013797743,0.05821758,0.0075058145,-0.015726736,0.031773362,0.015294781,0.00836982,0.04199839,0.015294689,0.041148663,-0.015396399,0.046091612,-0.0057604746,0.0043806056,0.015376464,-0.022019688,0.039729953,0.01008893,0.017653545,0.017974354,DH86UFkz9LK6My0ezUgZx96oI
0.018445887,0.004108831,-0.021106344,-0.04846914,-0.03327703,0.036668483,-0.030707093,0.0031842873,-0.035727426,0.0039856504,-0.043571364,-0.015015256,-0.013010274,-0.021768307,0.028588714,-0.046377473,0.030614017,-0.031674184,0.008347414,-0.0009979496,0.04788811,0.02737582,0.028375344,-0.0054783192,Fveq5yuDUj6drSMiZO3mXe
0.06425693,-0.037857793,0.029837389,-0.060641512,-0.042756774,-0.048930738,0.004473398,0.053106025,-0.041552458,0.07382899,-0.10008753,-0.09571991,-0.066256404,0.066903,0.07005686,-0.022811461,-0.0074030887,-0.07755537,0.10919033,-0.018902456,0.07038252,-0.021033354,0.0054371255,-0.06004987,GpoBynXzkxADI7bZBtqvX2IPV5t7o2QCPE
0.025319079,-0.011916759,0.012308207,0.013438093,-0.0006806336,0.019625293,0.038724322,-0.02801872,-0.042468987,-0.038725074,0.033967573,0.038948387,0.010500665,0.021287289,-0.013284414,-0.00088032684,-0.021617953,0.03446923,-0.0058563175,-0.025108399,0.023710089,-0.021138035,-0.001328298,-0.017352121,IlTgyyFksv4BT
0.017043285,0.01388867,-0.008503996,-0.020922411,0.024745634,-0.06059922,-0.036456637,0.000639578,-0.023883011,0.055823825,0.0009639683,0.01340463,0.02447674,0.04102686,0.031251945,-0.0226357,-0.018233638,-0.037106,0.03286023,0.0008550111,0.035391696,-0.030593116,0.021368684,0.025434388,J71wxZB6Jn0CR82XoyV
0.06570088,-0.09362971,0.059499733,-0.0919751,-0.073379576,-0.051904384,0.010455867,0.06925247,-0.038482897,0.120576665,-0.097320534,-0.015640123,-0.01512604,0.04399486,0.0335202,-0.10446895,-0.011409601,-0.07578945,0.0052854875,-0.031688385,0.034119632,-0.0029424531,0.025881745,-0.085920356,JXVE
